COADD_ID,COMPOUND_CODE,PROJECT_ID,LIBRARY_NAME,ASSAY_ID,ORGANISM,STRAIN,NASSAYS,INHIB_AVE,INHIB_STD,CONC,SMILES,DRVAL_TYPE,DRVAL_MEDIAN,DRVAL_UNIT,DMAX_AVE,MIC_OPERATOR,MW,logP,TPSA,HBD,HBA,RotBonds,Rings,ArRings,QED,MIC_VALUE_uM
CO-ADD:0252987,A1655/0070598,CO-ADD:PC0337,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,10.76,4.98,32 ug/mL,c1(cc(sc1CC)C=O)[N+](=O)[O-],MIC,>32,ug/mL,36.0,>,185.20399999999998,2.0312,60.209999999999994,0,4,3,1,1,0.41093903415524585,172.78244530355718
CO-ADD:0254478,A1650/0070474,CO-ADD:PC0340,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,100.74,0.58,32 ug/mL,c1(ccc(\C=N\c2ccccc2C(=O)Nc(cc3)ccc3NC(C)=O)o1)[N+](=O)[O-],MIC,>32,ug/mL,31.4,>,392.37100000000015,4.1491000000000025,126.84,2,6,6,3,3,0.37004342934804646,81.55546663744259
CO-ADD:0137558,FS-6/24,CO-ADD:PC0079,University of Strathclyde (UK),GN_001,Escherichia coli,ATCC 25922,2,5.62,0.55,32 ug/mL,CN1C=C(NC(C(C=C2)=CC=C2/C=C/C3=CC(C=CC=C4)=C4N=C3)=O)C=C1C(NC5=CN(C)C(C(NCCC(N)=N)=O)=C5)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O,MIC,>32,ug/mL,6.3,>,816.7160000000006,5.909270000000004,234.51999999999995,7,7,10,5,5,0.05036478120297051,39.18130659862177
CO-ADD:0137548,AIK-29/85,CO-ADD:PC0079,University of Strathclyde (UK),GN_001,Escherichia coli,ATCC 25922,2,1.91,0.0,32 ug/mL,CN1C=C(NC(C(C=C2)=CC=C2/C=C/C3=CC(C=CC=C4)=C4N=C3)=O)C=C1C(NC5=CN(C)C(C(NCCN(C)C)=O)=C5)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O,MIC,>32,ug/mL,10.55,>,817.7440000000006,6.144800000000005,187.88999999999996,5,7,10,5,5,0.10318336538039675,39.13205110645872
CO-ADD:0248218,A1532/0066601,CO-ADD:PC0316,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,97.78,1.76,32 ug/mL,c1(\N=C\c(ccc2[N+](=O)[O-])o2)sc(c3c1C(OCC)=O)CCC3,MIC,16,ug/mL,96.7,=,334.3530000000002,3.665300000000003,94.94,0,7,5,3,2,0.3597153128258116,47.853615789300505
CO-ADD:0247762,A1516/0066123,CO-ADD:PC0316,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,4.94,0.38,32 ug/mL,c1(ncnc(N\N=C(/C)\c2ccc(cc2)CCCC)c1)N(CC3)CCO3,MIC,>32,ug/mL,12.0,>,353.47000000000014,3.491900000000002,62.64,1,6,7,3,2,0.609709136192704,90.53102102017141
CO-ADD:0249547,A1548/0067407,CO-ADD:PC0328,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,13.48,8.27,32 ug/mL,N1(c2ccc(cc2)Cl)C(=O)CC(N(CC3)CCN3C=O)C1=O,MIC,>32,ug/mL,16.2,>,321.764,0.7458999999999996,60.93000000000001,0,4,3,3,1,0.6085791207741271,99.45177210626422
CO-ADD:0252417,A1579/0068709,CO-ADD:PC0337,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,40.06,2.0,32 ug/mL,c(C(=O)N\N=C\c(c(O)ccc1[N+](=O)[O-])c1)(c(C)on2)c2c3ccccc3,MIC,>32,ug/mL,12.7,>,366.3330000000001,3.0277200000000013,130.86,2,7,5,3,3,0.40527440844999096,87.35221779091698
CO-ADD:0252983,A1654/0070581,CO-ADD:PC0337,Russian Academy of Science (Russia),GN_001,Escherichia coli,ATCC 25922,2,28.71,1.42,32 ug/mL,[B-]1(c2ccccc2)(c3ccccc3)OC(C)=C(C(\C=C\N(C)C)=[O+]1)\C(\N)=C/C#N,MIC,>32,ug/mL,12.85,>,385.2760000000001,2.09348,73.58000000000001,1,4,5,3,2,0.37033718498697016,83.05734071159374
CO-ADD:0137613,AIK-29/34,CO-ADD:PC0079,University of Strathclyde (UK),GN_001,Escherichia coli,ATCC 25922,2,11.36,0.57,32 ug/mL,CN1C=C(NC(C(C=C2)=CC=C2/C=C/C3=CC(C=CC=C4)=C4N=C3)=O)C=C1C(NC5=CN(C(C)C)C(C(NCCN6CCOCC6)=O)=C5)=O.OC(C(F)(F)F)=O.OC(C(F)(F)F)=O,MIC,>32,ug/mL,4.65,>,887.8350000000002,6.959300000000007,197.11999999999995,5,8,11,6,5,0.08654183585612389,36.042733165509354
